"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 13 14:13:06 GMT 2024","Wed Mar 13 14:13:07 GMT 2024","187","Customers","Update Customer","","","","Update Customer",""
"passed","Wed Mar 13 14:13:08 GMT 2024","Wed Mar 13 14:13:08 GMT 2024","180","Customers","Validate Customer","","","","Validate Customer with invalid type",""
"passed","Wed Mar 13 14:13:06 GMT 2024","Wed Mar 13 14:13:06 GMT 2024","215","Customers","Fetch Customers","","","","Fetch Customer",""
"passed","Wed Mar 13 14:12:59 GMT 2024","Wed Mar 13 14:13:00 GMT 2024","186","Transactions","Initialize Transaction","","","","Initialize Transaction with empty fields","The Transactions API allows you create and manage payments on your integration.

#### Header

| Param | Type | Required? | Decription |
| --- | --- | --- | --- |
| authorization | string | Yes | Set value to Bearer SECRET_KEY |
| content-type | string | Yes | Set value to application/json |

#### Parameters

| Param | Type | Required? | Decription |
| --- | --- | --- | --- |
| email | string | Yes | Customer email address |
| amount | string | Yes | Amount you are debiting customer. Do not pass this if creating subscriptions. |
| currency | string | No | Currency charge should be performed in. Allowed values are: NGN or USD. Default currency set to NGN when currency parameter is not set |
| reference | string | No | Unique case sensitive transaction reference. Only -,_,., =and alphanumeric characters allowed. If you do not pass this parameter, Duplo will generate a unique reference for you. |
| callback | string | No | Function that runs when payment is successful. This should ideally be a script that uses the verify endpoint on the Budpay API to check the status of the transaction. |"
"passed","Wed Mar 13 14:13:11 GMT 2024","Wed Mar 13 14:13:11 GMT 2024","185","Customers","Validate Customer","","","","Validate Customer with empty fields",""
"passed","Wed Mar 13 14:13:11 GMT 2024","Wed Mar 13 14:13:11 GMT 2024","177","Customers","Validate Customer","","","","Validate Customer with invalid code",""
"passed","Wed Mar 13 14:13:00 GMT 2024","Wed Mar 13 14:13:01 GMT 2024","197","Transactions","","","","","View Transaction Timeline",""
"passed","Wed Mar 13 14:13:13 GMT 2024","Wed Mar 13 14:13:13 GMT 2024","512","Plans","","","","","Update Plan",""
"failed","Wed Mar 13 14:13:02 GMT 2024","Wed Mar 13 14:13:02 GMT 2024","223","Customers","Create Customer","","","","Create Customer with invalid phone number","The Customers API allows you create and manage customers on your integration.

#### Create Customer

Create a customer on your integration

Endpoint: /customer  
Method: POST

##### Customer Validation

The _first_name_, _last_name_ and _phone_ are optional parameters. However, when creating a customer that would be assigned to a Dedicated Virtual Account, then these parameters become compulsory or necessary.

#### Header

| Param | Type | Required? | Decription |
| --- | --- | --- | --- |
| _authorization_ | string | Yes | Set value to _Bearer SECRET_KEY_ |
| _content-type_ | string | Yes | Set value to _application/json_ |

#### Body Param

| Param | Type | Required? | Decription |
| --- | --- | --- | --- |
| _email_ | string | Yes | Customer's email address |
| _first_name_ | string | Yes | Customer's first name |
| _last_name_ | string | Yes | Customer's last name |
| _phone_ | string | No | Customer's phone number |
| _metadata_ | string | No | A set of key/value pairs that you can attach to the customer. It can be used to store additional information in a structured format. |"
"passed","Wed Mar 13 14:13:09 GMT 2024","Wed Mar 13 14:13:10 GMT 2024","188","Customers","Validate Customer","","","","Validate Customer with empty account number",""
